symbol,date,close
AAPL,2022-01-03,182.00999450683594
AAPL,2022-01-04,179.6999969482422
AAPL,2022-01-05,174.9199981689453
AAPL,2022-01-06,172
AAPL,2022-01-07,172.1699981689453
AAPL,2022-01-10,172.19000244140625
AAPL,2022-01-11,175.0800018310547
AAPL,2022-01-12,175.52999877929688
AAPL,2022-01-13,172.19000244140625
AAPL,2022-01-14,173.07000732421875
AAPL,2022-01-18,169.8000030517578
AAPL,2022-01-19,166.22999572753906
AAPL,2022-01-20,164.50999450683594
AAPL,2022-01-21,162.41000366210938
AAPL,2022-01-24,161.6199951171875
AAPL,2022-01-25,159.77999877929688
AAPL,2022-01-26,159.69000244140625
AAPL,2022-01-27,159.22000122070313
AAPL,2022-01-28,170.3300018310547
AAPL,2022-01-31,174.77999877929688
AAPL,2022-02-01,174.61000061035156
AAPL,2022-02-02,175.83999633789063
AAPL,2022-02-03,172.89999389648438
AAPL,2022-02-04,172.38999938964844
AAPL,2022-02-07,171.66000366210938
AAPL,2022-02-08,174.8300018310547
AAPL,2022-02-09,176.27999877929688
AAPL,2022-02-10,172.1199951171875
AAPL,2022-02-11,168.63999938964844
AAPL,2022-02-14,168.8800048828125
AAPL,2022-02-15,172.7899932861328
AAPL,2022-02-16,172.5500030517578
AAPL,2022-02-17,168.8800048828125
AAPL,2022-02-18,167.3000030517578
AAPL,2022-02-22,164.32000732421875
AAPL,2022-02-23,160.07000732421875
AAPL,2022-02-24,162.74000549316406
AAPL,2022-02-25,164.85000610351563
AAPL,2022-02-28,165.1199951171875
AAPL,2022-03-01,163.1999969482422
AAPL,2022-03-02,166.55999755859375
AAPL,2022-03-03,166.22999572753906
AAPL,2022-03-04,163.1699981689453
AAPL,2022-03-07,159.3000030517578
AAPL,2022-03-08,157.44000244140625
AAPL,2022-03-09,162.9499969482422
AAPL,2022-03-10,158.52000427246094
AAPL,2022-03-11,154.72999572753906
AAPL,2022-03-14,150.6199951171875
AAPL,2022-03-15,155.08999633789063
AAPL,2022-03-16,159.58999633789063
AAPL,2022-03-17,160.6199951171875
AAPL,2022-03-18,163.97999572753906
AAPL,2022-03-21,165.3800048828125
AAPL,2022-03-22,168.82000732421875
AAPL,2022-03-23,170.2100067138672
AAPL,2022-03-24,174.07000732421875
AAPL,2022-03-25,174.72000122070313
AAPL,2022-03-28,175.60000610351563
AAPL,2022-03-29,178.9600067138672
AAPL,2022-03-30,177.77000427246094
AAPL,2022-03-31,174.61000061035156
AAPL,2022-04-01,174.30999755859375
AAPL,2022-04-04,178.44000244140625
AAPL,2022-04-05,175.05999755859375
AAPL,2022-04-06,171.8300018310547
AAPL,2022-04-07,172.13999938964844
AAPL,2022-04-08,170.08999633789063
AAPL,2022-04-11,165.75
AAPL,2022-04-12,167.66000366210938
AAPL,2022-04-13,170.39999389648438
AAPL,2022-04-14,165.2899932861328
AAPL,2022-04-18,165.07000732421875
AAPL,2022-04-19,167.39999389648438
AAPL,2022-04-20,167.22999572753906
AAPL,2022-04-21,166.4199981689453
AAPL,2022-04-22,161.7899932861328
AAPL,2022-04-25,162.8800048828125
AAPL,2022-04-26,156.8000030517578
AAPL,2022-04-27,156.57000732421875
AAPL,2022-04-28,163.63999938964844
AAPL,2022-04-29,157.64999389648438
AAPL,2022-05-02,157.9600067138672
AAPL,2022-05-03,159.47999572753906
AAPL,2022-05-04,166.02000427246094
AAPL,2022-05-05,156.77000427246094
AAPL,2022-05-06,157.27999877929688
AAPL,2022-05-09,152.05999755859375
AAPL,2022-05-10,154.50999450683594
AAPL,2022-05-11,146.5
AAPL,2022-05-12,142.55999755859375
AAPL,2022-05-13,147.11000061035156
AAPL,2022-05-16,145.5399932861328
AAPL,2022-05-17,149.24000549316406
